generation 10000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	20779	0	10	0.263158	none	
ConcentrationScaler	2781	3442	3	0.0789474	2.19914	
TimeSizeRateMixer	19749	22805	6	0.157895	0.350891	
TimeRootSizeMixer	21641	21668	6	0.157895	0.302354	
EventTimeScaler	81024	82116	1	0.0263158	1.5068	
RootPopulationSizeScaler0	12809	14787	1	0.0263158	0.471453	
LeafPopulationSizeScaler0	16697	10959	1	0.0263158	2.47801	
RootPopulationSizeScaler1	13150	14322	1	0.0263158	0.458353	
LeafPopulationSizeScaler1	15335	12313	1	0.0263158	2.76249	
RootPopulationSizeScaler2	13037	14644	1	0.0263158	0.463075	
LeafPopulationSizeScaler2	14958	12701	1	0.0263158	1.58336	
RootPopulationSizeScaler3	12795	14757	1	0.0263158	0.471416	
LeafPopulationSizeScaler3	15438	12218	1	0.0263158	2.28151	
RootPopulationSizeScaler4	13096	14525	1	0.0263158	0.465899	
LeafPopulationSizeScaler4	14997	12618	1	0.0263158	2.3318	
RootPopulationSizeScaler5	12693	14909	1	0.0263158	0.471337	
LeafPopulationSizeScaler5	15678	11958	1	0.0263158	2.01635	
generation 90000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	23414	0	10	0.263158	none	
ConcentrationScaler	3122	3874	3	0.0789474	2.20219	
TimeSizeRateMixer	22216	25757	6	0.157895	0.351626	
TimeRootSizeMixer	24279	24484	6	0.157895	0.304009	
EventTimeScaler	90797	92804	1	0.0263158	1.5136	
RootPopulationSizeScaler0	14356	16713	1	0.0263158	0.472006	
LeafPopulationSizeScaler0	18641	12502	1	0.0263158	2.51016	
RootPopulationSizeScaler1	14774	16187	1	0.0263158	0.459513	
LeafPopulationSizeScaler1	17132	14004	1	0.0263158	2.78573	
RootPopulationSizeScaler2	14650	16545	1	0.0263158	0.464403	
LeafPopulationSizeScaler2	16714	14433	1	0.0263158	1.59597	
RootPopulationSizeScaler3	14431	16620	1	0.0263158	0.472693	
LeafPopulationSizeScaler3	17281	13861	1	0.0263158	2.30464	
RootPopulationSizeScaler4	14692	16401	1	0.0263158	0.466758	
LeafPopulationSizeScaler4	16814	14315	1	0.0263158	2.35222	
RootPopulationSizeScaler5	14263	16832	1	0.0263158	0.471823	
LeafPopulationSizeScaler5	17536	13609	1	0.0263158	2.03809	
generation 100000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	26018	0	10	0.263158	none	
ConcentrationScaler	3475	4340	3	0.0789474	2.19993	
TimeSizeRateMixer	24638	28559	6	0.157895	0.352437	
TimeRootSizeMixer	26918	27474	6	0.157895	0.304955	
EventTimeScaler	100609	103479	1	0.0263158	1.52026	
RootPopulationSizeScaler0	15919	18679	1	0.0263158	0.472606	
LeafPopulationSizeScaler0	20577	14065	1	0.0263158	2.53772	
RootPopulationSizeScaler1	16400	18038	1	0.0263158	0.460838	
LeafPopulationSizeScaler1	18889	15740	1	0.0263158	2.80549	
RootPopulationSizeScaler2	16271	18419	1	0.0263158	0.46535	
LeafPopulationSizeScaler2	18553	16080	1	0.0263158	1.60933	
RootPopulationSizeScaler3	15982	18575	1	0.0263158	0.472704	
LeafPopulationSizeScaler3	19070	15546	1	0.0263158	2.32243	
RootPopulationSizeScaler4	16275	18310	1	0.0263158	0.467499	
LeafPopulationSizeScaler4	18557	16071	1	0.0263158	2.36668	
RootPopulationSizeScaler5	15868	18724	1	0.0263158	0.472721	
LeafPopulationSizeScaler5	19397	15234	1	0.0263158	2.05645	
