Run	Gene_Length	Population_Size	Mutation_Rate	Prob_1_Event	Prob_2_Events	Prob_3_Events	Prob_4_Events	Prob_5_Events	Prob_6_Events	Mean_Divergence_PopA_PopB	Mean_Divergence_PopC_PopD	Mean_Divergence_PopE_PopF	Mean_Divergence_PopG_PopH	Mean_Divergence_PopI_PopJ	Mean_Divergence_PopK_PopL	Gene_Length	Population_Size	Mutation_Rate	Samples_Simulated_Per_Pop	True_Number_Events	True_Divergence_PopA_PopB	True_Divergence_PopC_PopD	True_Divergence_PopE_PopF	True_Divergence_PopG_PopH	True_Divergence_PopI_PopJ	True_Divergence_PopK_PopL
11	X	Y	Z	0.976024	0.022977	0	0	0	0.000999	0.000011	0.000011	0.000011	0.000011	0.000011	0.000012	1000	10000	1.00E-08	10	1	40000	40000	40000	40000	40000	40000
12	X	Y	Z	0.944056	0.053946	0.000999	0	0	0.000999	0.000011	0.000011	0.000011	0.000012	0.000011	0.000024	1000	10000	1.00E-08	10	1	40000	40000	40000	40000	40000	40000
13	X	Y	Z	0.93007	0.064935	0.003996	0	0	0.000999	0.000027	0.000017	0.000032	0.000017	0.000017	0.000017	1000	10000	1.00E-08	10	1	40000	40000	40000	40000	40000	40000
14	X	Y	Z	0.968032	0.030969	0	0	0	0.000999	0.000012	0.000012	0.000014	0.000012	0.000012	0.000012	1000	10000	1.00E-08	10	1	40000	40000	40000	40000	40000	40000
15	X	Y	Z	0.96004	0.038961	0	0	0	0.000999	0.00002	0.000014	0.000015	0.000014	0.000015	0.000014	1000	10000	1.00E-08	10	1	40000	40000	40000	40000	40000	40000
16	X	Y	Z	0.871129	0.121878	0.004995	0.000999	0	0.000999	0.000033	0.000042	0.000063	0.000033	0.000043	0.000032	1000	10000	1.00E-08	10	1	40000	40000	40000	40000	40000	40000
17	X	Y	Z	0.97003	0.028971	0	0	0	0.000999	0.00001	0.00001	0.00001	0.00001	0.00001	0.00001	1000	10000	1.00E-08	10	1	40000	40000	40000	40000	40000	40000
18	X	Y	Z	0.983017	0.015984	0	0	0	0.000999	0.000005	0.000005	0.000005	0.000005	0.000005	0.000005	1000	10000	1.00E-08	10	1	40000	40000	40000	40000	40000	40000
19	X	Y	Z	0.955045	0.043956	0	0	0	0.000999	0.000016	0.000016	0.000016	0.000016	0.000016	0.00002	1000	10000	1.00E-08	10	1	40000	40000	40000	40000	40000	40000
20	X	Y	Z	0.982018	0.016983	0	0	0	0.000999	0.000006	0.000006	0.000006	0.000006	0.000006	0.000006	1000	10000	1.00E-08	10	1	40000	40000	40000	40000	40000	40000
21	X	Y	Z	0.889111	0.097902	0.008991	0.002997	0	0.000999	0.00009	0.000092	0.00009	0.0001	0.0001	0.000094	1000	10000	1.00E-08	10	1	40000	40000	40000	40000	40000	40000
22	X	Y	Z	0.921079	0.074925	0.002997	0	0	0.000999	0.000034	0.00002	0.00002	0.000034	0.00002	0.00002	1000	10000	1.00E-08	10	1	40000	40000	40000	40000	40000	40000
23	X	Y	Z	0.985015	0.013986	0	0	0	0.000999	0.000006	0.000007	0.000006	0.000006	0.000006	0.000006	1000	10000	1.00E-08	10	1	40000	40000	40000	40000	40000	40000
24	X	Y	Z	0.96004	0.036963	0.000999	0.000999	0	0.000999	0.000006	0.000013	0.000006	0.000006	0.000011	0.000007	1000	10000	1.00E-08	10	1	40000	40000	40000	40000	40000	40000
25	X	Y	Z	0.96004	0.038961	0	0	0	0.000999	0.000022	0.000021	0.000021	0.000023	0.000021	0.000024	1000	10000	1.00E-08	10	1	40000	40000	40000	40000	40000	40000
26	X	Y	Z	0.905095	0.081918	0.010989	0.000999	0	0.000999	0.000077	0.000085	0.000078	0.000079	0.000088	0.000081	1000	10000	1.00E-08	10	1	40000	40000	40000	40000	40000	40000
27	X	Y	Z	0.957043	0.03996	0.001998	0	0	0.000999	0.000007	0.000007	0.000024	0.000007	0.000007	0.000007	1000	10000	1.00E-08	10	1	40000	40000	40000	40000	40000	40000
28	X	Y	Z	0.941059	0.054945	0.002997	0	0	0.000999	0.000021	0.000021	0.000028	0.000022	0.000021	0.000032	1000	10000	1.00E-08	10	1	40000	40000	40000	40000	40000	40000
29	X	Y	Z	0.936064	0.058941	0.002997	0.000999	0	0.000999	0.000021	0.000015	0.000014	0.000014	0.000014	0.000014	1000	10000	1.00E-08	10	1	40000	40000	40000	40000	40000	40000
30	X	Y	Z	0.987013	0.010989	0.000999	0	0	0.000999	0.000006	0.000006	0.000006	0.000006	0.000006	0.000006	1000	10000	1.00E-08	10	1	40000	40000	40000	40000	40000	40000
