generation 10000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	20923	0	10	0.263158	none	
ConcentrationScaler	3076	3216	3	0.0789474	2.56737	
TimeSizeRateMixer	9534	11403	6	0.157895	0.278768	
TimeRootSizeMixer	10245	10894	6	0.157895	0.245337	
EventTimeScaler	38674	41607	1	0.0263158	1.43448	
RootPopulationSizeScaler0	12761	14655	1	0.0263158	0.473776	
LeafPopulationSizeScaler0	15899	11587	1	0.0263158	2.58826	
RootPopulationSizeScaler1	13143	14386	1	0.0263158	0.458198	
LeafPopulationSizeScaler1	16791	10621	1	0.0263158	2.36154	
RootPopulationSizeScaler2	12660	14822	1	0.0263158	0.479357	
LeafPopulationSizeScaler2	15567	11899	1	0.0263158	2.35027	
RootPopulationSizeScaler3	13104	14384	1	0.0263158	0.455031	
LeafPopulationSizeScaler3	15061	12456	1	0.0263158	1.61064	
RootPopulationSizeScaler4	12760	14670	1	0.0263158	0.466456	
LeafPopulationSizeScaler4	14831	12652	1	0.0263158	1.75095	
RootPopulationSizeScaler5	12748	14746	1	0.0263158	0.474302	
LeafPopulationSizeScaler5	16600	10950	1	0.0263158	2.38716	
generation 90000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	23513	0	10	0.263158	none	
ConcentrationScaler	3456	3653	3	0.0789474	2.57355	
TimeSizeRateMixer	10653	12931	6	0.157895	0.278346	
TimeRootSizeMixer	11359	12124	6	0.157895	0.246204	
EventTimeScaler	43123	46846	1	0.0263158	1.43755	
RootPopulationSizeScaler0	14306	16513	1	0.0263158	0.474466	
LeafPopulationSizeScaler0	17664	13222	1	0.0263158	2.61228	
RootPopulationSizeScaler1	14778	16135	1	0.0263158	0.460074	
LeafPopulationSizeScaler1	18738	12114	1	0.0263158	2.39427	
RootPopulationSizeScaler2	14199	16672	1	0.0263158	0.47994	
LeafPopulationSizeScaler2	17274	13583	1	0.0263158	2.36984	
RootPopulationSizeScaler3	14676	16222	1	0.0263158	0.456339	
LeafPopulationSizeScaler3	16798	14099	1	0.0263158	1.62435	
RootPopulationSizeScaler4	14307	16529	1	0.0263158	0.467271	
LeafPopulationSizeScaler4	16538	14355	1	0.0263158	1.76394	
RootPopulationSizeScaler5	14265	16624	1	0.0263158	0.475204	
LeafPopulationSizeScaler5	18485	12436	1	0.0263158	2.41934	
generation 100000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	26099	0	10	0.263158	none	
ConcentrationScaler	3817	4079	3	0.0789474	2.57702	
TimeSizeRateMixer	11834	14326	6	0.157895	0.278427	
TimeRootSizeMixer	12725	13551	6	0.157895	0.247685	
EventTimeScaler	47833	52226	1	0.0263158	1.44161	
RootPopulationSizeScaler0	15859	18440	1	0.0263158	0.475078	
LeafPopulationSizeScaler0	19505	14864	1	0.0263158	2.63676	
RootPopulationSizeScaler1	16409	18000	1	0.0263158	0.461251	
LeafPopulationSizeScaler1	20665	13692	1	0.0263158	2.42343	
RootPopulationSizeScaler2	15749	18576	1	0.0263158	0.48029	
LeafPopulationSizeScaler2	19061	15281	1	0.0263158	2.38962	
RootPopulationSizeScaler3	16290	18066	1	0.0263158	0.457455	
LeafPopulationSizeScaler3	18529	15847	1	0.0263158	1.63358	
RootPopulationSizeScaler4	15885	18427	1	0.0263158	0.467758	
LeafPopulationSizeScaler4	18298	16066	1	0.0263158	1.77681	
RootPopulationSizeScaler5	15820	18547	1	0.0263158	0.476105	
LeafPopulationSizeScaler5	20417	13966	1	0.0263158	2.44854	
