generation 10000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
RootPopulationSizeScaler2	12861	14413	1	0.0263158	0.448432	
LeafPopulationSizeScaler2	14539	12794	1	0.0263158	1.97669	
RootPopulationSizeScaler3	13043	14308	1	0.0263158	0.454532	
LeafPopulationSizeScaler3	15632	11649	1	0.0263158	2.09048	
RootPopulationSizeScaler4	12934	14397	1	0.0263158	0.450215	
LeafPopulationSizeScaler4	14672	12629	1	0.0263158	2.25849	
RootPopulationSizeScaler5	12625	14709	1	0.0263158	0.468459	
LeafPopulationSizeScaler5	15535	11794	1	0.0263158	2.67489	
generation 90000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	23627	0	10	0.263158	none	
ConcentrationScaler	3346	3723	3	0.0789474	2.79776	
TimeSizeRateMixer	7117	8209	6	0.157895	0.202923	
TimeRootSizeMixer	5986	9018	6	0.157895	0.0334661	
EventTimeScaler	31054	27127	1	0.0263158	2.70086	
RootPopulationSizeScaler0	14412	16343	1	0.0263158	0.459421	
LeafPopulationSizeScaler0	16748	14095	1	0.0263158	2.24754	
RootPopulationSizeScaler1	14474	16328	1	0.0263158	0.458354	
LeafPopulationSizeScaler1	16780	13980	1	0.0263158	2.60527	
RootPopulationSizeScaler2	14492	16285	1	0.0263158	0.449671	
LeafPopulationSizeScaler2	16274	14567	1	0.0263158	1.98783	
RootPopulationSizeScaler3	14633	16235	1	0.0263158	0.455146	
LeafPopulationSizeScaler3	17506	13257	1	0.0263158	2.11365	
RootPopulationSizeScaler4	14534	16323	1	0.0263158	0.451109	
LeafPopulationSizeScaler4	16478	14345	1	0.0263158	2.2782	
RootPopulationSizeScaler5	14166	16658	1	0.0263158	0.468911	
LeafPopulationSizeScaler5	17407	13447	1	0.0263158	2.70516	
generation 100000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	26262	0	10	0.263158	none	
ConcentrationScaler	3768	4136	3	0.0789474	2.81294	
TimeSizeRateMixer	7818	9117	6	0.157895	0.202981	
TimeRootSizeMixer	6683	9989	6	0.157895	0.0333822	
EventTimeScaler	34298	30247	1	0.0263158	2.71964	
RootPopulationSizeScaler0	15960	18124	1	0.0263158	0.460929	
LeafPopulationSizeScaler0	18446	15701	1	0.0263158	2.2651	
RootPopulationSizeScaler1	15980	18137	1	0.0263158	0.459322	
LeafPopulationSizeScaler1	18503	15602	1	0.0263158	2.62508	
RootPopulationSizeScaler2	15999	18119	1	0.0263158	0.450229	
LeafPopulationSizeScaler2	17929	16232	1	0.0263158	1.99856	
RootPopulationSizeScaler3	16146	18026	1	0.0263158	0.455849	
LeafPopulationSizeScaler3	19327	14781	1	0.0263158	2.13522	
RootPopulationSizeScaler4	16115	18085	1	0.0263158	0.452405	
LeafPopulationSizeScaler4	18099	16067	1	0.0263158	2.29031	
RootPopulationSizeScaler5	15700	18476	1	0.0263158	0.470175	
LeafPopulationSizeScaler5	19170	15032	1	0.0263158	2.7289	
