Run	Gene_Length	Population_Size	Mutation_Rate	Samples_Simulated_Per_Pop	True_Number_Events	True_Divergence_PopA_PopB	True_Divergence_PopC_PopD	True_Divergence_PopE_PopF	True_Divergence_PopG_PopH	True_Divergence_PopI_PopJ	True_Divergence_PopK_PopL	Prob_1_Event	Prob_2_Events	Prob_3_Events	Prob_4_Events	Prob_5_Events	Prob_6_Events	Mean_Divergence_PopA_PopB	Mean_Divergence_PopC_PopD	Mean_Divergence_PopE_PopF	Mean_Divergence_PopG_PopH	Mean_Divergence_PopI_PopJ	Mean_Divergence_PopK_PopL
16	1000	10000	1e-8	10	6	10000	90000	170000	250000	330000	410000	0.631369	0.347652	0.019980	0.000000	0.000000	0.000999	0.000014	0.000053	0.000137	0.000017	0.000015	0.000014
17	1000	10000	1e-8	10	6	10000	90000	170000	250000	330000	410000	0.953047	0.044955	0.000999	0.000000	0.000000	0.000999	0.000017	0.000011	0.000011	0.000011	0.000011	0.000015
18	1000	10000	1e-8	10	6	10000	90000	170000	250000	330000	410000	0.905095	0.085914	0.006993	0.000000	0.000999	0.000999	0.000053	0.000049	0.000055	0.000056	0.000050	0.000049
19	1000	10000	1e-8	10	6	10000	90000	170000	250000	330000	410000	0.775225	0.205794	0.017982	0.000000	0.000000	0.000999	0.000029	0.000128	0.000031	0.000030	0.000030	0.000046
20	1000	10000	1e-8	10	6	10000	90000	170000	250000	330000	410000	0.924076	0.070929	0.003996	0.000000	0.000000	0.000999	0.000019	0.000019	0.000028	0.000024	0.000030	0.000020
21	1000	10000	1e-8	10	6	10000	90000	170000	250000	330000	410000	0.989011	0.009990	0.000000	0.000000	0.000000	0.000999	0.000005	0.000005	0.000005	0.000005	0.000005	0.000005
22	1000	10000	1e-8	10	6	10000	90000	170000	250000	330000	410000	0.985015	0.012987	0.000999	0.000000	0.000000	0.000999	0.000007	0.000007	0.000007	0.000007	0.000007	0.000007
23	1000	10000	1e-8	10	6	10000	90000	170000	250000	330000	410000	0.967033	0.031968	0.000000	0.000000	0.000000	0.000999	0.000012	0.000012	0.000014	0.000012	0.000012	0.000012
24	1000	10000	1e-8	10	6	10000	90000	170000	250000	330000	410000	0.984016	0.013986	0.000999	0.000000	0.000000	0.000999	0.000008	0.000008	0.000008	0.000008	0.000008	0.000008
25	1000	10000	1e-8	10	6	10000	90000	170000	250000	330000	410000	0.940060	0.056943	0.001998	0.000000	0.000000	0.000999	0.000021	0.000018	0.000028	0.000018	0.000017	0.000018
26	1000	10000	1e-8	10	6	10000	90000	170000	250000	330000	410000	0.918082	0.078921	0.001998	0.000000	0.000000	0.000999	0.000013	0.000012	0.000012	0.000047	0.000012	0.000011
27	1000	10000	1e-8	10	6	10000	90000	170000	250000	330000	410000	0.973027	0.025974	0.000000	0.000000	0.000000	0.000999	0.000007	0.000008	0.000007	0.000007	0.000008	0.000007
28	1000	10000	1e-8	10	6	10000	90000	170000	250000	330000	410000	0.943057	0.052947	0.002997	0.000000	0.000000	0.000999	0.000022	0.000015	0.000016	0.000015	0.000015	0.000020
29	1000	10000	1e-8	10	6	10000	90000	170000	250000	330000	410000	0.926074	0.061938	0.010989	0.000000	0.000000	0.000999	0.000016	0.000023	0.000016	0.000016	0.000016	0.000031
